timestamp,name,value,min,max
2015-12-09 13:01:58.494000,pH,8.02,8.1,8.4
2015-12-09 13:01:58.494000,Salinity,1.0317,1.023,1.027
2015-12-09 13:01:58.494000,Temperature,76.76,72,78
2015-12-09 10:01:58.055000,pH,8.06,8.1,8.4
2015-12-09 10:01:58.055000,Salinity,1.0317,1.023,1.027
2015-12-09 10:01:58.055000,Temperature,76.21,72,78
2015-12-09 11:36:58.347000,Temperature,76.16,72,78
2015-12-09 11:51:58.471000,pH,8.04,8.1,8.4
2015-12-09 11:51:58.471000,Salinity,1.0317,1.023,1.027
2015-12-09 11:51:58.471000,Temperature,76.28,72,78
2015-12-09 12:01:58.420000,pH,8.04,8.1,8.4
2015-12-09 12:01:58.420000,Salinity,1.0317,1.023,1.027
2015-12-09 12:01:58.420000,Temperature,76.31,72,78
2015-12-09 13:31:58.942000,pH,8.02,8.1,8.4
2015-12-09 13:31:58.942000,Salinity,1.0317,1.023,1.027
2015-12-09 13:31:58.942000,Temperature,76.89,72,78
2015-12-09 12:46:58.477000,pH,8.02,8.1,8.4
2015-12-09 12:46:58.477000,Salinity,1.0317,1.023,1.027
2015-12-09 12:46:58.477000,Temperature,76.66,72,78
2015-12-09 13:11:58.725000,pH,8.02,8.1,8.4
2015-12-09 13:11:58.725000,Salinity,1.0317,1.023,1.027
2015-12-09 13:11:58.725000,Temperature,76.85,72,78
2015-12-09 13:41:58.746000,pH,8.01,8.1,8.4
2015-12-09 13:41:58.746000,Salinity,1.0317,1.023,1.027
2015-12-09 13:41:58.746000,Temperature,76.88,72,78
2015-12-09 13:46:58.893000,pH,8.01,8.1,8.4
2015-12-09 13:46:58.893000,Salinity,1.0317,1.023,1.027
2015-12-09 13:46:58.893000,Temperature,76.81,72,78
2015-12-09 13:51:58.694000,pH,8.01,8.1,8.4
2015-12-09 13:51:58.694000,Salinity,1.0317,1.023,1.027
2015-12-09 13:51:58.694000,Temperature,76.79,72,78
2015-12-09 13:56:58.695000,pH,8.01,8.1,8.4
2015-12-09 13:56:58.695000,Salinity,1.0317,1.023,1.027
2015-12-09 13:56:58.695000,Temperature,76.76,72,78
2015-12-09 14:01:58.831000,pH,8.01,8.1,8.4
2015-12-09 14:01:58.831000,Salinity,1.0317,1.023,1.027
2015-12-09 14:01:58.831000,Temperature,76.78,72,78
2015-12-09 14:06:59.032000,pH,8.01,8.1,8.4
2015-12-09 14:06:59.032000,Salinity,1.0317,1.023,1.027
2015-12-09 14:06:59.032000,Temperature,76.74,72,78
2015-12-09 14:11:58.732000,pH,8.01,8.1,8.4
2015-12-09 14:11:58.732000,Salinity,1.0317,1.023,1.027
2015-12-09 14:11:58.732000,Temperature,76.73,72,78
2015-12-09 14:16:58.782000,pH,8.01,8.1,8.4
