id,readings_string,device_id,timestamp,created_at,updated_at
c07475ed-456f-4192-8205-7d665c564cdd,"ph:8.02840,ec:55368.95703,tds:29899.23633,pss:36.71300,c:25.18750",30003a001247343330343136,2016-02-18 05:44:21.960000,2016-02-18 05:44:22.003174,2016-02-18 05:44:22.003174
9ecc1c8e-1171-400b-b6b6-ca6dd76ecff8,"ph:7.97920,ec:55348.74219,tds:29888.31836,pss:36.69800,c:25.13125",30003a001247343330343136,2016-02-18 06:44:34.130000,2016-02-18 06:44:34.208082,2016-02-18 06:44:34.208082
22565e0c-5cc8-47f4-a163-a1104d78ea68,"ph:7.94090,ec:55341.30078,tds:29884.30078,pss:36.69100,c:25.06250",30003a001247343330343136,2016-02-18 07:59:49.360000,2016-02-18 07:59:49.396177,2016-02-18 07:59:49.396177
8ee9cf4e-1674-44fa-8092-a9f5e6aff26f,"ph:7.87830,ec:55278.57031,tds:29850.42773,pss:36.64100,c:24.75000",30003a001247343330343136,2016-02-18 11:19:50.221000,2016-02-18 11:19:50.243129,2016-02-18 11:19:50.243129
dc4e67ec-4aab-4dee-a874-c61154c19bf3,"ph:7.85790,ec:55308.72656,tds:29866.71094,pss:36.66000,c:24.56250",30003a001247343330343136,2016-02-18 13:15:13.642000,2016-02-18 13:15:13.676308,2016-02-18 13:15:13.676308
67252399-8b48-46ef-9b36-30127e847574,"ph:8.01680,ec:55385.55469,tds:29908.19922,pss:36.72900,c:25.19375",30003a001247343330343136,2016-02-18 05:54:23.930000,2016-02-18 05:54:23.973001,2016-02-18 05:54:23.973001
f851bf9c-5171-472c-9f2d-36aaa26a6a45,"ph:7.97430,ec:55383.49219,tds:29907.08398,pss:36.72400,c:25.13125",30003a001247343330343136,2016-02-18 06:49:35.168000,2016-02-18 06:49:35.198407,2016-02-18 06:49:35.198407
5dea6d70-2a59-42cb-9e63-a5f14038a90a,"ph:7.97100,ec:55293.21875,tds:29858.33594,pss:36.65600,c:25.12500",30003a001247343330343136,2016-02-18 06:54:36.234000,2016-02-18 06:54:36.276040,2016-02-18 06:54:36.276040
6eb1396d-01b6-4719-8f9a-1023698e043c,"ph:7.95030,ec:55380.31641,tds:29905.36914,pss:36.72100,c:25.08125",30003a001247343330343136,2016-02-18 07:34:44.298000,2016-02-18 07:34:44.351508,2016-02-18 07:34:44.351508
4cc8d69b-8d90-48fc-a6d6-9814742e5a1f,"ph:7.99150,ec:55441.70313,tds:29938.51953,pss:36.76900,c:25.18750",30003a001247343330343136,2016-02-18 06:24:30.029000,2016-02-18 06:24:30.090870,2016-02-18 06:24:30.090870
97b4aeab-bee6-4500-a931-b7f4464f8d8d,"ph:7.93310,ec:55340.50781,tds:29883.87109,pss:36.69200,c:25.05000",30003a001247343330343136,2016-02-18 08:14:52.416000,2016-02-18 08:14:52.452180,2016-02-18 08:14:52.452180
5dfd42bc-64d3-4cb6-b50a-f14e77fbba09,"ph:7.91650,ec:55263.58203,tds:29842.33203,pss:36.63200,c:24.97500",30003a001247343330343136,2016-02-18 09:05:35.291000,2016-02-18 09:05:35.322356,2016-02-18 09:05:35.322356
8e8eb783-9bf6-456d-9ab1-01a64657b199,"ph:7.87110,ec:55274.87500,tds:29848.43164,pss:36.63700,c:24.69375",30003a001247343330343136,2016-02-18 11:54:57.397000,2016-02-18 11:54:57.428598,2016-02-18 11:54:57.428598
